ID,NoFloor,FloorArea(m2),TotalFloorArea(m2),ColumnArea(m2),ConcreteWallArea(NS)(m2),ConcreteWallArea(EW)(m2),MasonryWallArea(NS)(m2),MasonryWallArea(EW)(m2),StructuralDamage
540,5,319,1597,5.66,0.39,0.32,0.284,0.214,0
541,3,596,1787,6.46,0,0,0.768,1.484,1
542,4,766,3063,5.69,11.12,8.01,0.408,0.542,0
543,4,766,3063,5.69,11.12,8.01,0.408,0.542,1
544,4,766,3063,5.69,11.12,8.01,0.408,0.542,1
545,4,896,3584,9.79,8.82,7.42,0.973,0.098,0
546,4,766,3063,5.69,11.12,8.01,0.408,0.542,0
547,4,191,766,3.2,0.37,0.4,0,0,1
548,4,210,842,3.89,0.27,0.39,0,0,0
549,5,151,757,3.97,0.25,0.59,0,0,1
550,5,191,956,3.94,1.12,1.94,0,0,0
551,4,99,395,2.16,0,0,0,0,0
554,3,333,998,2.19,0.39,0.65,0,0,0
556,3,336,1008,5.82,0.03,0.76,0,0,0
557,5,172,861,3.57,0,0,0,0,1
558,4,220,879,4.05,0,0,0,0,1
559,3,112,335,2.25,0.37,0.19,0,0,1
560,6,186,1115,4.9,0.34,0.29,0,0,0
561,6,482,2891,8.29,1.54,4.93,0,0,1
562,3,126,377,2.24,0.27,0.13,0,0,1
563,2,123,247,2.46,0.28,0.34,0,0,0
564,6,341,2048,6.51,0.55,0.42,0,0,1
565,6,227,1363,8.5,0.1,0.75,0,0,1
566,4,150,601,2.6,1.15,0,0,0,0
568,4,691,2763,10.61,0,0,0,0,0
569,6,325,1952,10.16,0.16,1.27,0,0,1
570,5,253,1263,3.75,0.1,0.62,0,0,1
571,5,185,927,3.9,0.18,0.11,0,0,1
573,5,85,423,2.26,0.74,0.35,0,0,0
574,6,223,1340,4.5,2.24,0.65,0,0,0
575,5,213,1066,4.6,0,0,0,0,1
576,5,414,2070,7.93,0.43,1.08,0,0,1
577,5,353,1767,4.3,0.12,1.15,0,0,1
578,4,551,2202,8.62,1.1,2.17,0,0,0
579,5,177,886,3.31,0.89,0.42,0,0,1
580,6,382,2294,6.79,4.63,1.41,0,0,1
581,5,177,883,3.47,0.13,0.2,0,0,1
582,6,231,1387,4.44,0.24,0.87,0,0,1
583,4,130,521,3.18,0.15,0.27,0,0,0
584,5,202,1011,4.32,0.25,0,0,0,0
586,4,342,1369,4.87,0.4,1.24,0,0,1
587,5,122,611,2.55,0.1,0.19,0,0,1
588,6,405,2433,4.81,1.82,2.74,0,0,0
589,5,271,1356,8.49,0.31,0.75,0,0,0
590,5,446,2232,6.75,0.36,0.87,0,0,1
591,6,196,1177,5.3,0.12,0.38,0,0,0
592,4,178,713,4.35,0.05,0.22,0,0,1
596,5,531,2653,9.61,3.3,3.08,0,0,0
597,3,183,550,3.54,0,0.39,0,0,0
598,4,196,785,4.26,0.1,0.13,0,0,1
599,3,108,324,2.1,0.13,0,0,0,0
600,5,90,450,4.2,0.63,0.37,0,0,0
601,5,299,1497,6.01,0.14,0.23,0,0,0
603,5,243,1216,5.31,0.07,0.08,0,0,0
604,3,78,234,2.5,0.2,0.8,0,0,0
605,5,125,626,3.45,0,0.2,0,0,0
606,5,260,1301,6.31,0.38,0.12,0,0,1
607,5,249,1246,3.7,0.06,0.17,0,0,1
608,5,144,721,2.8,0.49,0.09,0,0,1
609,5,232,1161,2.85,0.76,1.14,0,0,0
610,5,293,1467,6.55,0.55,0,0,0,1
611,3,105,315,1.62,0.12,0.11,0,0,0
612,3,113,339,1.95,0.06,0.09,0,0,0
613,4,385,1539,5.89,0.45,0.18,0,0,0
614,4,409,1635,7.6,0.11,0.3,0,0,0
615,4,450,1802,3.72,3.68,1.64,0,0,0
616,5,267,1336,2.8,3.33,4.35,0,0,0
617,6,246,1478,3.21,2.1,0.79,0,0,1
618,6,246,1478,3.21,1.88,0.6,0,0,1
619,5,250,1251,4,0,1.34,0,0,0
620,1,124,124,2.91,0,0,0,0,0
621,5,726,3629,8.57,7.95,1.89,0,0,1
622,3,96,288,1.5,0.29,0,0,0,0
